Entity,Code,Year,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh
Argentina,ARG,2003,0.88059855,0.000065,0.077954,33.800575
Argentina,ARG,2004,0.86751235,0.00007,0.072446,30.462402
Argentina,ARG,2005,0.9164998,0.000081,0.07171966,34.216137
Argentina,ARG,2006,1.046309,0.00009,0.06964,38.015213
Argentina,ARG,2007,1.0708514,0.0001089,0.061593,31.22015
Argentina,ARG,2008,1.2059801,0.0001437,0.04195108,31.199696
Argentina,ARG,2009,1.1889358,0.000076084,0.036831528,34.618187
Argentina,ARG,2010,1.4423598,0.00008589,0.025351606,33.35991
Argentina,ARG,2011,1.4191314,0.001614,0.02659055,31.18693
Argentina,ARG,2012,1.484553,0.008172967,0.369862,29.1644
Argentina,ARG,2013,1.6066635,0.015074079,0.45335487,32.771378
Argentina,ARG,2014,1.482859,0.015944,0.619491,32.416695
Argentina,ARG,2015,1.517351,0.014683,0.593335,32.33747
Argentina,ARG,2016,1.1388094,0.014273,0.547359,29.752789
Argentina,ARG,2017,1.3890371,0.016417,0.611567,31.594284
Argentina,ARG,2018,1.5898329,0.10813,1.412743,32.278667
Argentina,ARG,2019,1.6499021,0.79969794,4.9959664,27.504503
Argentina,ARG,2020,2.264699,1.344358,9.410639,23.669312
Argentina,ARG,2021,2.1038966,2.1955633,12.937551,19.597536
Brazil,BRA,1965,0,0,0,25.515
Brazil,BRA,1966,0,0,0,27.906
Brazil,BRA,1967,0,0,0,29.189
Brazil,BRA,1968,0,0,0,30.55
Brazil,BRA,1969,0,0,0,32.692
Brazil,BRA,1970,0.5146915,0,0,39.801
Brazil,BRA,1971,0.63339525,0,0,43.199
Brazil,BRA,1972,0.7165702,0,0,50.681
Brazil,BRA,1973,0.7508004,0,0,57.89
Brazil,BRA,1974,0.7851518,0,0,65.679
Brazil,BRA,1975,0.86717755,0,0,72.287
Brazil,BRA,1976,0.86433774,0,0,82.913
Brazil,BRA,1977,1.1168455,0,0,93.48
Brazil,BRA,1978,1.3319441,0,0,102.746
Brazil,BRA,1979,1.7760195,0,0,116.58
Brazil,BRA,1980,1.8055083,0,0,128.907
Brazil,BRA,1981,1.8736229,0,0,130.765
Brazil,BRA,1982,2.1784744,0,0,141.132
Brazil,BRA,1983,2.9844549,0,0,151.475
Brazil,BRA,1984,2.8516788,0,0,166.593
Brazil,BRA,1985,3.0671256,0,0,178.375
Brazil,BRA,1986,3.1939325,0,0,182.419
Brazil,BRA,1987,3.5656974,0,0,185.6
Brazil,BRA,1988,3.339784,0,0,199.093
Brazil,BRA,1989,3.4031622,0,0,204.69
Brazil,BRA,1990,3.8590624,0,0,206.708
Brazil,BRA,1991,3.9996126,0,0,217.782
Brazil,BRA,1992,4.929361,0,0,223.343
Brazil,BRA,1993,4.9839373,0,0,235.065
Brazil,BRA,1994,5.3882236,0,0,242.705
Brazil,BRA,1995,5.5937405,0,0,253.905
Brazil,BRA,1996,6.75271,0,0.002,265.769
Brazil,BRA,1997,7.378951,0,0.004,278.972
Brazil,BRA,1998,7.505233,0,0.005,291.469
Brazil,BRA,1999,8.376002,0,0.002,293
Brazil,BRA,2000,7.855363,0,0.001,304.403
Brazil,BRA,2001,8.990407,0,0.0349,267.876
Brazil,BRA,2002,10.226147,0,0.061,286.092
Brazil,BRA,2003,11.894463,0,0.061,305.616
Brazil,BRA,2004,12.475056,0,0.061,320.7969
Brazil,BRA,2005,13.5909395,0,0.0929,337.45667
Brazil,BRA,2006,14.845659,0,0.237,348.80545
Brazil,BRA,2007,18.063444,0,0.66278183,374.01514
Brazil,BRA,2008,19.786257,0,1.183,369.5564
Brazil,BRA,2009,22.875872,0,1.238,390.98807
Brazil,BRA,2010,31.942375,0,2.176558,403.28983
Brazil,BRA,2011,32.62904,0,2.704769,428.33292
Brazil,BRA,2012,35.76567,0.00098,5.05,415.34216
Brazil,BRA,2013,40.971848,0.004793593,6.575863,390.992
Brazil,BRA,2014,47.07918,0.016081803,12.210252,373.43906
Brazil,BRA,2015,49.88032,0.05891741,21.625702,359.7428
Brazil,BRA,2016,51.334698,0.08526059,33.488873,380.91095
Brazil,BRA,2017,52.912106,0.8318134,42.373257,370.90646
Brazil,BRA,2018,54.382233,3.4614348,48.47514,388.97107
Brazil,BRA,2019,54.920876,6.654579,55.985622,397.87704
Brazil,BRA,2020,58.741848,10.748342,57.050705,396.3812
Brazil,BRA,2021,54.959217,16.752281,72.28597,362.81845
Chile,CHL,1965,0,0,0,3.954
Chile,CHL,1966,0,0,0,4.168
Chile,CHL,1967,0,0,0,4.255
Chile,CHL,1968,0,0,0,3.565
Chile,CHL,1969,0,0,0,4.024
Chile,CHL,1970,0,0,0,4.307
Chile,CHL,1971,0.066,0,0,4.809
Chile,CHL,1972,0.057,0,0,5.73
Chile,CHL,1973,0.051,0,0,5.595
Chile,CHL,1974,0.046,0,0,6.364
Chile,CHL,1975,0.051,0,0,6.388
Chile,CHL,1976,0.073,0,0,6.599
Chile,CHL,1977,0.08,0,0,6.969
Chile,CHL,1978,0.091,0,0,7.251
Chile,CHL,1979,0.094,0,0,7.448
Chile,CHL,1980,0.105,0,0,7.871
Chile,CHL,1981,0.11,0,0,8.15
Chile,CHL,1982,0.137,0,0,8.914
Chile,CHL,1983,0.208,0,0,9.613
Chile,CHL,1984,0.201,0,0,9.975
Chile,CHL,1985,0.195,0,0,11.07
Chile,CHL,1986,0.28,0,0,11.83
Chile,CHL,1987,0.271,0,0,12.823
Chile,CHL,1988,0.327,0,0,12.558
Chile,CHL,1989,0.321,0,0,10.543
Chile,CHL,1990,0.963,0,0,8.941428
Chile,CHL,1991,1.033,0,0,13.135654
Chile,CHL,1992,1.743,0,0,16.74015
Chile,CHL,1993,1.75,0,0,17.217321
Chile,CHL,1994,1.786,0,0,16.985472
Chile,CHL,1995,1.879,0,0,18.413738
Chile,CHL,1996,1.738,0,0,16.873468
Chile,CHL,1997,1.743,0,0,18.943148
Chile,CHL,1998,1.161,0,0,15.937255
Chile,CHL,1999,1.45,0,0,13.577
Chile,CHL,2000,1.375,0,0,19.081
Chile,CHL,2001,1.683,0,0.007,21.68
Chile,CHL,2002,1.781,0,0.007,23.187
Chile,CHL,2003,1.695,0,0.007,22.603
Chile,CHL,2004,2.031,0,0.005,20.969337
Chile,CHL,2005,1.79,0,0.007,25.5755
Chile,CHL,2006,1.431,0,0.007,28.21505
Chile,CHL,2007,2.696,0,0.0112,22.33486
Chile,CHL,2008,3.5882213,0,0.03812314,24.266146
Chile,CHL,2009,3.391682,0,0.07901422,25.17931
Chile,CHL,2010,3.4124773,0,0.325326,21.759474
Chile,CHL,2011,4.314426,0,0.33759564,20.510006
Chile,CHL,2012,5.9831734,0.00034039,0.40838745,20.162024
Chile,CHL,2013,6.896006,0.00675656,0.5450756,19.907211
Chile,CHL,2014,4.989873,0.458713,1.4431201,23.045078
Chile,CHL,2015,5.5661297,1.3601003,2.114648,23.621508
Chile,CHL,2016,6.722216,2.5502636,2.4518394,19.690727
Chile,CHL,2017,7.4493103,3.8959484,3.6255593,21.325731
Chile,CHL,2018,9.157252,5.118721,3.5878947,23.36677
Chile,CHL,2019,9.54655,6.300226,4.895221,21.440327
Chile,CHL,2020,8.741824,7.6148434,5.6023026,21.720932
Chile,CHL,2021,8.4537115,10.596327,9.481755,16.532999
Colombia,COL,1965,0,0,0,3.5439494
Colombia,COL,1966,0,0,0,3.9372194
Colombia,COL,1967,0,0,0,4.3892536
Colombia,COL,1968,0,0,0,4.8910117
Colombia,COL,1969,0,0,0,5.4379735
Colombia,COL,1970,0,0,0,6.05274
Colombia,COL,1971,0,0,0,6.4234085
Colombia,COL,1972,0,0,0,7.115021
Colombia,COL,1973,0,0,0,7.7433486
Colombia,COL,1974,0,0,0,8.7920685
Colombia,COL,1975,0.189,0,0,9.7323
Colombia,COL,1976,0.202,0,0,10.22642
Colombia,COL,1977,0.192,0,0,10.451812
Colombia,COL,1978,0.206,0,0,12.07144
Colombia,COL,1979,0.216,0,0,13.2593
Colombia,COL,1980,0.227,0,0,14.44702
Colombia,COL,1981,0.212,0,0,14.26534
Colombia,COL,1982,0.231,0,0,15.238536
Colombia,COL,1983,0.234,0,0,15.365776
Colombia,COL,1984,0.255,0,0,17.14022
Colombia,COL,1985,0.267,0,0,18.440771
Colombia,COL,1986,0.266,0,0,21.332952
Colombia,COL,1987,0.268,0,0,23.24756
Colombia,COL,1988,0.274,0,0,24.5194
Colombia,COL,1989,0.274,0,0,26.78212
Colombia,COL,1990,0.274,0,0,27.495852
Colombia,COL,1991,0.269,0,0,27.72608
Colombia,COL,1992,0.34,0,0,22.280584
Colombia,COL,1993,0.389,0,0,27.856392
Colombia,COL,1994,0.444,0,0,32.05839
Colombia,COL,1995,0.477,0,0,31.9894
Colombia,COL,1996,0.496,0,0,35.287624
Colombia,COL,1997,0.483,0,0,31.47576
Colombia,COL,1998,0.532,0,0,30.781685
Colombia,COL,1999,0.457,0,0,33.700657
Colombia,COL,2000,0.496,0.001835014,0,30.815718
Colombia,COL,2001,0.496,0.00266875,0,31.632658
Colombia,COL,2002,0.491,0.00465125,0,33.968037
Colombia,COL,2003,0.495,0.006405,0,36.17636
Colombia,COL,2004,0.467,0.007951726,0.05199,38.33006
Colombia,COL,2005,0.503,0.00953125,0.04948,39.220886
Colombia,COL,2006,0.5197261,0,0.06298139,42.55789
Colombia,COL,2007,0.5071364,0,0.049890976,44.24198
Colombia,COL,2008,0.50934935,0,0.053918168,46.16088
Colombia,COL,2009,1.0032873,0,0.057707813,40.837364
Colombia,COL,2010,1.1099824,0,0.03856992,40.55746
Colombia,COL,2011,1.3783877,0,0.041271944,48.42748
Colombia,COL,2012,1.4760586,0,0.05485471,47.58171
Colombia,COL,2013,1.3464338,0,0.057624802,44.36279
Colombia,COL,2014,1.728923,0,0.0702303,44.741962
Colombia,COL,2015,1.8229002,0,0.06837745,44.681904
Colombia,COL,2016,1.9938043,0,0.050887343,46.787926
Colombia,COL,2017,1.9912593,0.005,0.003071419,57.32773
Colombia,COL,2018,2.1187904,0.012,0.04344,56.65124
Colombia,COL,2019,2.4441278,0.13206,0.06332,54.437
Colombia,COL,2020,2.820657,0.1908,0.01012,49.83735
Colombia,COL,2021,2.8208168,0.31732163,0.059852246,59.858196
Ecuador,ECU,1965,0,0,0,0.249
Ecuador,ECU,1966,0,0,0,0.285
Ecuador,ECU,1967,0,0,0,0.314
Ecuador,ECU,1968,0,0,0,0.328
Ecuador,ECU,1969,0,0,0,0.364
Ecuador,ECU,1970,0,0,0,0.405
Ecuador,ECU,1971,0,0,0,0.44
Ecuador,ECU,1972,0,0,0,0.445
Ecuador,ECU,1973,0,0,0,0.435
Ecuador,ECU,1974,0,0,0,0.5
Ecuador,ECU,1975,0,0,0,0.628
Ecuador,ECU,1976,0,0,0,0.605
Ecuador,ECU,1977,0,0,0,0.558
Ecuador,ECU,1978,0,0,0,0.791
Ecuador,ECU,1979,0,0,0,0.709
Ecuador,ECU,1980,0,0,0,0.872
Ecuador,ECU,1981,0,0,0,0.779
Ecuador,ECU,1982,0,0,0,0.895
Ecuador,ECU,1983,0,0,0,1.721
Ecuador,ECU,1984,0,0,0,3.233
Ecuador,ECU,1985,0,0,0,3.279
Ecuador,ECU,1986,0,0,0,4.012
Ecuador,ECU,1987,0,0,0,4.57
Ecuador,ECU,1988,0,0,0,4.826
Ecuador,ECU,1989,0,0,0,4.954
Ecuador,ECU,1990,0,0,0,4.9866877
Ecuador,ECU,1991,0,0,0,5.075921
Ecuador,ECU,1992,0,0,0,4.973581
Ecuador,ECU,1993,0,0,0,5.8101373
Ecuador,ECU,1994,0,0,0,6.5652776
Ecuador,ECU,1995,0,0,0,5.160551
Ecuador,ECU,1996,0,0,0,6.3434153
Ecuador,ECU,1997,0,0,0,6.5341773
Ecuador,ECU,1998,0,0,0,6.5060954
Ecuador,ECU,1999,0,0,0,7.176726
Ecuador,ECU,2000,0,0,0,7.6112313
Ecuador,ECU,2001,0,0,0,7.0706525
Ecuador,ECU,2002,0,0,0,7.524256
Ecuador,ECU,2003,0,0,0,7.180417
Ecuador,ECU,2004,0.00324057,0,0,7.4116993
Ecuador,ECU,2005,0.102856286,0.0000124,0,6.8826394
Ecuador,ECU,2006,0.14555573,0.000014875,0,7.129493
Ecuador,ECU,2007,0.21875276,0.000018162,0.000962135,9.037655
Ecuador,ECU,2008,0.20832446,0.000026687,0.002682461,11.293333
Ecuador,ECU,2009,0.2165198,0.00000788,0.003204417,9.225408
Ecuador,ECU,2010,0.23556188,0,0.00343485,8.636401
Ecuador,ECU,2011,0.27820036,0.00005812,0.00334467,11.133088
Ecuador,ECU,2012,0.29635325,0.00032566,0.002398368,12.237723
Ecuador,ECU,2013,0.29578793,0.003663607,0.056702975,11.038825
Ecuador,ECU,2014,0.3994712,0.016482696,0.07974247,11.457895
Ecuador,ECU,2015,0.40775105,0.036057927,0.098806314,13.09627
Ecuador,ECU,2016,0.4897965,0.038754817,0.08395875,15.833842
Ecuador,ECU,2017,0.43085,0.03748,0.0734,20.08861
Ecuador,ECU,2018,0.42796764,0.038079325,0.08025777,20.678001
Ecuador,ECU,2019,0.45472345,0.16645227,0.085526936,24.664263
Ecuador,ECU,2020,0.47058,0.03776,0.0771,24.33326
Ecuador,ECU,2021,0.41493,0.03687,0.06201,25.57461
Peru,PER,1965,0,0,0,2.625
Peru,PER,1966,0,0,0,2.827
Peru,PER,1967,0,0,0,3.168
Peru,PER,1968,0,0,0,3.4
Peru,PER,1969,0,0,0,3.701
Peru,PER,1970,0,0,0,3.536
Peru,PER,1971,0.227,0,0,4.286
Peru,PER,1972,0.227,0,0,4.435
Peru,PER,1973,0.23,0,0,4.769
Peru,PER,1974,0.266,0,0,5.216
Peru,PER,1975,0.266,0,0,5.467
Peru,PER,1976,0.245,0,0,5.793
Peru,PER,1977,0.242,0,0,6.025
Peru,PER,1978,0.215,0,0,6.192
Peru,PER,1979,0.163,0,0,6.703
Peru,PER,1980,0.085,0,0,7.01
Peru,PER,1981,0.076,0,0,7.996
Peru,PER,1982,0.151,0,0,8.396
Peru,PER,1983,0.145,0,0,8.107
Peru,PER,1984,0.142,0,0,8.703
Peru,PER,1985,0.169,0,0,9.382
Peru,PER,1986,0.154,0,0,10.06
Peru,PER,1987,0.136,0,0,10.878
Peru,PER,1988,0.136,0,0,10.423
Peru,PER,1989,0.145,0,0,10.507
Peru,PER,1990,0.136,0,0,10.469
Peru,PER,1991,0.133,0,0,11.492
Peru,PER,1992,0.133,0,0,9.689
Peru,PER,1993,0.109,0,0,11.799
Peru,PER,1994,0.119,0,0,12.747
Peru,PER,1995,0.142,0,0,12.9376
Peru,PER,1996,0.137,0,0.0004,13.3236
Peru,PER,1997,0.154,0,0.0006,13.2145
Peru,PER,1998,0.126,0,0.0005,13.8083
Peru,PER,1999,0.139,0,0.0006,14.5406
Peru,PER,2000,0.158,0,0.0008,16.1761
Peru,PER,2001,0.163,0,0.0012,17.6148
Peru,PER,2002,0.186,0,0.0012,18.0401
Peru,PER,2003,0.196,0,0.0012,18.5337
Peru,PER,2004,0.153,0,0.0012,17.5253
Peru,PER,2005,0.348,0,0.0012,17.977
Peru,PER,2006,0.348,0,0.0012,19.5943
Peru,PER,2007,0.417,0,0.0012,19.5488
Peru,PER,2008,0.46,0,0.0012,19.0596
Peru,PER,2009,0.46,0,0.0012,19.9038
Peru,PER,2010,0.673,0,0.0012,20.0521
Peru,PER,2011,0.675,0,0.0012,21.5573
Peru,PER,2012,0.668,0.0597,0.0012,22.0319
Peru,PER,2013,0.96,0.1969,0.0012,22.3196
Peru,PER,2014,1.291,0.1993,0.2575,22.2107
Peru,PER,2015,0.907,0.23025534,0.5943741,23.687063
Peru,PER,2016,0.31442258,0.241,1.064,24.136
Peru,PER,2017,0.43491,0.329723,1.073432,29.074512
Peru,PER,2018,0.491651,0.7967,1.5024,30.7374
Peru,PER,2019,0.45461112,0.8329,1.655,31.4621
Peru,PER,2020,0.5103359,0.84927416,1.814,30.506
Peru,PER,2021,0.5788325,0.87547284,1.802,31.945
Venezuela,VEN,1965,0,0,0,1.369
Venezuela,VEN,1966,0,0,0,1.395
Venezuela,VEN,1967,0,0,0,1.636
Venezuela,VEN,1968,0,0,0,2.748
Venezuela,VEN,1969,0,0,0,3.19
Venezuela,VEN,1970,0,0,0,4.104
Venezuela,VEN,1971,0,0,0,5.39
Venezuela,VEN,1972,0,0,0,6.02
Venezuela,VEN,1973,0,0,0,6.225
Venezuela,VEN,1974,0,0,0,7.707
Venezuela,VEN,1975,0,0,0,8.931
Venezuela,VEN,1976,0,0,0,10.578
Venezuela,VEN,1977,0,0,0,12.163
Venezuela,VEN,1978,0,0,0,12.232
Venezuela,VEN,1979,0,0,0,14.24
Venezuela,VEN,1980,0,0,0,14.587
Venezuela,VEN,1981,0,0,0,15.088
Venezuela,VEN,1982,0,0,0,15.814
Venezuela,VEN,1983,0,0,0,18.063
Venezuela,VEN,1984,0,0,0,20.243
Venezuela,VEN,1985,0,0,0,22.648
Venezuela,VEN,1986,0,0,0,25.159
Venezuela,VEN,1987,0,0,0,30.843
Venezuela,VEN,1988,0,0,0,34.203
Venezuela,VEN,1989,0,0,0,34.666
Venezuela,VEN,1990,0,0,0,36.983
Venezuela,VEN,1991,0,0,0,44.542
Venezuela,VEN,1992,0,0,0,47.271
Venezuela,VEN,1993,0,0,0,47.478
Venezuela,VEN,1994,0,0,0,51.284
Venezuela,VEN,1995,0,0,0,51.45
Venezuela,VEN,1996,0,0,0,53.847
Venezuela,VEN,1997,0,0,0,57.268
Venezuela,VEN,1998,0,0,0,57.923
Venezuela,VEN,1999,0,0,0,60.6
Venezuela,VEN,2000,0,0,0,62.886
Venezuela,VEN,2001,0,0,0,60.441
Venezuela,VEN,2002,0,0,0,59.534
Venezuela,VEN,2003,0,0,0,60.532
Venezuela,VEN,2004,0,0,0,70.075
Venezuela,VEN,2005,0,0,0,77.08849
Venezuela,VEN,2006,0,0,0,81.41334
Venezuela,VEN,2007,0,0,0,83.03442
Venezuela,VEN,2008,0,0,0,86.7129
Venezuela,VEN,2009,0,0,0,85.83926
Venezuela,VEN,2010,0,0.00246,0,76.65978
Venezuela,VEN,2011,0,0.00298,0,83.15471
Venezuela,VEN,2012,0,0.00522,0,81.73554
Venezuela,VEN,2013,0,0.00536,0.08827,81.49598
Venezuela,VEN,2014,0,0.00466,0.10943,80.36026
Venezuela,VEN,2015,0,0.00365,0.07354,74.77388
Venezuela,VEN,2016,0,0.00365,0.09759,62.75605
Venezuela,VEN,2017,0.01634,0.00396,0.09522,70.03548
Venezuela,VEN,2018,0.01634,0.00396,0.09522,58.150475
Venezuela,VEN,2019,0.04611,0.00308,0.08329,49.63676
Venezuela,VEN,2020,0.0111,0.003088438,0.08351819,61.27791
Venezuela,VEN,2021,0.011069672,0.00308,0.08329,61.22147
